Operation,Latency_us,Cycles
X25519 Keygen,275373,44059552
X25519 Shared Secret,144638,23141963
X25519 Keygen,273379,43740544
X25519 Shared Secret,138591,22174370
X25519 Keygen,274541,43926441
X25519 Shared Secret,142111,22737546
X25519 Keygen,274536,43925672
X25519 Shared Secret,142824,22851816
X25519 Keygen,274818,43970766
X25519 Shared Secret,139316,22290517
X25519 Keygen,273276,43723960
X25519 Shared Secret,142968,22874858
X25519 Keygen,274459,43913388
X25519 Shared Secret,142006,22720904
X25519 Keygen,272986,43677733
X25519 Shared Secret,141664,22666159
X25519 Keygen,273702,43792163
X25519 Shared Secret,143094,22894820
X25519 Keygen,273386,43741725
X25519 Shared Secret,140789,22526186
X25519 Keygen,274237,43877813
X25519 Shared Secret,143372,22939406
X25519 Keygen,272887,43661888
X25519 Shared Secret,138200,22111930
X25519 Keygen,273723,43795589
X25519 Shared Secret,142344,22775006
X25519 Keygen,274262,43881911
X25519 Shared Secret,138774,22203817
X25519 Keygen,275394,44062919
X25519 Shared Secret,140652,22504250
X25519 Keygen,274180,43868718
X25519 Shared Secret,140503,22480448
X25519 Keygen,275000,43999944
X25519 Shared Secret,144499,23119772
X25519 Keygen,274101,43855969
X25519 Shared Secret,144382,23101016
X25519 Keygen,273761,43801660
X25519 Shared Secret,143198,22911684
X25519 Keygen,276141,44182455
X25519 Shared Secret,143232,22916995
X25519 Keygen,274110,43857496
X25519 Shared Secret,137278,21964444
X25519 Keygen,273477,43756179
X25519 Shared Secret,144343,23094821
X25519 Keygen,272722,43635367
X25519 Shared Secret,143433,22949188
X25519 Keygen,275272,44043355
X25519 Shared Secret,141854,22696626
X25519 Keygen,273631,43780859
X25519 Shared Secret,142214,22754167
X25519 Keygen,274433,43909152
X25519 Shared Secret,139404,22304519
X25519 Keygen,275891,44142493
X25519 Shared Secret,141627,22660280
X25519 Keygen,275479,44076646
X25519 Shared Secret,142939,22870187
X25519 Keygen,274475,43915873
X25519 Shared Secret,140030,22404632
X25519 Keygen,274961,43993749
X25519 Shared Secret,139804,22368465
X25519 Keygen,275093,44014742
X25519 Shared Secret,138957,22232918
X25519 Keygen,274066,43850577
X25519 Shared Secret,141490,22638302
X25519 Keygen,273883,43821185
X25519 Shared Secret,142267,22762551
X25519 Keygen,273754,43800583
X25519 Shared Secret,141327,22612215
X25519 Keygen,275178,44028385
X25519 Shared Secret,144487,23117675
X25519 Keygen,273354,43736451
X25519 Shared Secret,137612,22017896
X25519 Keygen,275279,44044583
X25519 Shared Secret,140759,22521289
X25519 Keygen,274921,43987187
X25519 Shared Secret,140974,22555722
X25519 Keygen,274008,43841139
X25519 Shared Secret,144677,23148285
X25519 Keygen,275063,44010067
X25519 Shared Secret,144417,23106572
X25519 Keygen,274944,43990955
X25519 Shared Secret,143436,22949742
X25519 Keygen,273007,43680935
X25519 Shared Secret,140271,22443198
X25519 Keygen,275535,44085449
X25519 Shared Secret,139257,22280935
X25519 Keygen,275980,44156667
X25519 Shared Secret,145983,23357163
X25519 Keygen,275054,44008480
X25519 Shared Secret,146892,23502695
X25519 Keygen,275069,44010892
X25519 Shared Secret,140396,22463370
X25519 Keygen,273023,43683671
X25519 Shared Secret,142444,22790904
X25519 Keygen,274582,43933062
X25519 Shared Secret,142818,22850672
X25519 Keygen,273430,43748706
X25519 Shared Secret,137408,21985068
X25519 Keygen,272167,43546560
X25519 Shared Secret,144039,23046144
X25519 Keygen,274605,43936616
X25519 Shared Secret,142951,22871977
X25519 Keygen,273670,43787010
X25519 Shared Secret,142438,22789959
X25519 Keygen,275929,44148506
X25519 Shared Secret,140605,22496661
