handshake_id,session_id,protocol,client_ip,client_port,start_time,end_time,turnaround_latency_ms,total_duration_ms,client_hello_bytes,server_hello_bytes,total_client_bytes,total_server_bytes,status
1,1,Hybrid-PQC,192.168.1.3,60420,2026-09-09T08:24:23.651742,2026-09-09T08:24:23.667114,0.690,15.372,1249,1268,1399,1268,SUCCESS
2,1,Hybrid-PQC,192.168.1.3,60421,2026-09-09T08:24:39.266569,2026-09-09T08:24:39.283070,0.882,16.501,1249,1268,1399,1268,SUCCESS
3,1,Hybrid-PQC,192.168.1.3,60422,2026-09-09T08:24:54.880592,2026-09-09T08:24:54.896903,1.323,16.311,1249,1268,1399,1268,SUCCESS
4,1,Hybrid-PQC,192.168.1.3,60423,2026-09-09T08:25:10.533861,2026-09-09T08:25:10.547285,1.453,13.424,1249,1268,1399,1268,SUCCESS
5,1,Hybrid-PQC,192.168.1.3,60424,2026-09-09T08:25:26.138124,2026-09-09T08:25:26.162866,1.391,24.742,1249,1268,1399,1268,SUCCESS
6,1,Hybrid-PQC,192.168.1.3,60425,2026-09-09T08:25:41.778564,2026-09-09T08:25:41.799012,0.902,20.448,1249,1268,1399,1268,SUCCESS
7,1,Hybrid-PQC,192.168.1.3,60426,2026-09-09T08:25:57.398308,2026-09-09T08:25:57.434609,0.910,36.301,1249,1268,1399,1268,SUCCESS
8,1,Hybrid-PQC,192.168.1.3,60427,2026-09-09T08:26:13.036759,2026-09-09T08:26:13.062407,1.297,25.648,1249,1268,1399,1268,SUCCESS
9,1,Hybrid-PQC,192.168.1.3,60428,2026-09-09T08:26:28.723120,2026-09-09T08:26:28.847170,1.514,124.050,1249,1268,1399,1268,SUCCESS
10,1,Hybrid-PQC,192.168.1.3,60429,2026-09-09T08:26:44.443997,2026-09-09T08:26:44.611865,1.209,167.868,1249,1268,1399,1268,SUCCESS
11,1,Hybrid-PQC,192.168.1.3,60430,2026-09-09T08:27:00.204209,2026-09-09T08:27:00.235947,1.162,31.738,1249,1268,1399,1268,SUCCESS
12,1,Hybrid-PQC,192.168.1.3,60431,2026-09-09T08:27:15.835321,2026-09-09T08:27:15.861135,1.098,25.814,1249,1268,1399,1268,SUCCESS
13,1,Hybrid-PQC,192.168.1.3,60432,2026-09-09T08:27:31.450616,2026-09-09T08:27:31.662993,1.532,212.377,1249,1268,1399,1268,SUCCESS
14,1,Hybrid-PQC,192.168.1.3,60433,2026-09-09T08:27:47.255653,2026-09-09T08:27:47.296215,1.221,40.562,1249,1268,1399,1268,SUCCESS
